Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Île-de-France,Eolien onshore,9252,9251,"0,72",-,-,2
Normandie,Eolien onshore,81975,81975,"0,64",-,-,5
Nouvelle-Aquitaine,Eolien onshore,123103,123103,"0,67",-,-,8
Occitanie,Eolien onshore,182291,182291,"0,64",-,-,4
Pays de la Loire,Eolien onshore,127901,127901,"0,64",-,-,7
Provence-Alpes-Côte d'Azur,Eolien onshore,10235,10235,"0,83",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,185357,185357,"0,78",-,-,12
Bourgogne-Franche-Comté,Hydraulique,29155,29155,"0,76",-,-,3
Bretagne,Hydraulique,802,802,"0,74",-,-,1
Centre-Val de Loire,Hydraulique,3487,3487,"0,74",-,-,2
Grand Est,Hydraulique,27509,27509,"0,73",-,-,2
Haut-de-France,Hydraulique,1295,1295,"0,72",-,-,2
Île-de-France,Hydraulique,672,672,"0,74",-,-,1
Normandie,Hydraulique,5941,5941,"0,72",-,-,1
Nouvelle-Aquitaine,Hydraulique,62989,62989,"0,74",-,-,4
Occitanie,Hydraulique,87143,87143,"0,73",-,-,3
Pays de la Loire,Hydraulique,1126,1126,"0,75",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,37379,37379,"0,73",-,-,3
Aggregated Auction Results,,,,,,,
Auvergne-Rhône-Alpes,Solaire,78519,78519,"0,99",-,-,11
Bourgogne-Franche-Comté,Solaire,23205,23205,"0,82",-,-,2
Bretagne,Solaire,7959,7959,"0,63",-,-,5
Centre-Val de Loire,Solaire,21971,21971,"0,87",-,-,4
Grand Est,Solaire,39432,39432,"0,77",-,-,5
Haut-de-France,Solaire,10478,10478,"0,99",-,-,3
Île-de-France,Solaire,3948,3948,"0,83",-,-,5
Normandie,Solaire,9063,9063,"0,96",-,-,3
Nouvelle-Aquitaine,Solaire,266021,266021,"0,64",-,-,11
Occitanie,Solaire,210467,210467,"0,63",-,-,6
Pays de la Loire,Solaire,31156,31156,"0,73",-,-,5
Provence-Alpes-Côte d'Azur,Solaire,187845,187845,"0,67",-,-,11
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,57024,57024,"0,73",-,-,2
Bourgogne-Franche-Comté,Eolien onshore,96356,96356,"0,88",-,-,6
Bretagne,Eolien onshore,95341,95341,"0,88",-,-,7
Centre-Val de Loire,Eolien onshore,140927,140927,"0,86",-,-,3
Grand Est,Eolien onshore,405827,405827,"0,82",-,-,9
Haut-de-France,Eolien onshore,584166,584166,"0,78",-,-,14
Île-de-France,Eolien onshore,15547,15547,"0,79",-,-,4
Normandie,Eolien onshore,97820,97820,"0,75",-,-,5
Nouvelle-Aquitaine,Eolien onshore,114531,114531,"0,75",-,-,5
Occitanie,Eolien onshore,147781,147781,"0,77",-,-,7
Pays de la Loire,Eolien onshore,116741,116741,"0,73",-,-,5
Provence-Alpes-Côte d'Azur,Eolien onshore,10456,10456,"0,83",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,121094,121094,"0,87",-,-,8
Bourgogne-Franche-Comté,Hydraulique,18961,18961,"0,83",-,-,2
Bretagne,Hydraulique,406,406,"0,81",-,-,1
Centre-Val de Loire,Hydraulique,679,679,"0,82",-,-,1
Grand Est,Hydraulique,21837,21837,"0,82",-,-,2
Haut-de-France,Hydraulique,1278,1278,"0,82",-,-,2
Île-de-France,Hydraulique,720,720,"0,82",-,-,1
Normandie,Hydraulique,5066,5066,"0,81",-,-,1
Nouvelle-Aquitaine,Hydraulique,30524,30524,"0,82",-,-,3
Occitanie,Hydraulique,69074,69074,"0,82",-,-,2
Pays de la Loire,Hydraulique,262,262,"0,83",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,32416,32416,"0,82",-,-,3
Auvergne-Rhône-Alpes,Solaire,87801,87801,"0,8",-,-,10
Bourgogne-Franche-Comté,Solaire,22909,22909,"0,79",-,-,3
Bretagne,Solaire,7130,7130,"0,7",-,-,2
Centre-Val de Loire,Solaire,23726,23726,"0,78",-,-,5
Grand Est,Solaire,37590,37590,"0,74",-,-,4
Haut-de-France,Solaire,7345,7345,"0,92",-,-,5
Île-de-France,Solaire,5656,5656,"0,79",-,-,4
Normandie,Solaire,8097,8097,"0,68",-,-,1
Nouvelle-Aquitaine,Solaire,282671,282671,"0,76",-,-,9
Occitanie,Solaire,225109,225109,"0,76",-,-,8
Pays de la Loire,Solaire,29158,29158,"0,71",-,-,5
Provence-Alpes-Côte d'Azur,Solaire,193120,193120,"0,76",-,-,12
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,52345,52345,"0,62",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,79126,79126,"0,7",-,-,5
Bretagne,Eolien onshore,82093,82093,"0,66",-,-,7
Centre-Val de Loire,Eolien onshore,101121,101121,"0,7",-,-,4
Grand Est,Eolien onshore,283743,283743,"0,68",-,-,10
Haut-de-France,Eolien onshore,406591,406591,"0,69",-,-,12
Île-de-France,Eolien onshore,10409,10409,"0,66",-,-,3
Normandie,Eolien onshore,71636,71636,"0,65",-,-,6
Nouvelle-Aquitaine,Eolien onshore,79745,79745,"0,68",-,-,6
Occitanie,Eolien onshore,143267,143267,"0,64",-,-,5
Pays de la Loire,Eolien onshore,96441,96441,"0,73",-,-,6
Provence-Alpes-Côte d'Azur,Eolien onshore,9847,9847,"0,62",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,85967,85967,"0,74",-,-,8
Bourgogne-Franche-Comté,Hydraulique,7413,7413,"0,62",-,-,2
Bretagne,Hydraulique,427,427,"0,61",-,-,1
Centre-Val de Loire,Hydraulique,496,496,"0,61",-,-,1
Grand Est,Hydraulique,14301,14301,"0,62",-,-,2
Haut-de-France,Hydraulique,988,988,"0,61",-,-,2
Île-de-France,Hydraulique,755,755,"0,63",-,-,1
Normandie,Hydraulique,1270,1270,"0,61",-,-,1
Nouvelle-Aquitaine,Hydraulique,31621,31621,"0,74",-,-,6
Occitanie,Hydraulique,53047,53047,"0,62",-,-,5
Pays de la Loire,Hydraulique,39,39,"0,71",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,23542,23542,"0,61",-,-,5
Auvergne-Rhône-Alpes,Solaire,69798,69798,"0,71",-,-,9
Bourgogne-Franche-Comté,Solaire,21014,21014,"0,87",-,-,2
Bretagne,Solaire,6342,6342,"0,63",-,-,2
Centre-Val de Loire,Solaire,21440,21440,"0,73",-,-,4
Grand Est,Solaire,36613,36613,"0,65",-,-,5
Haut-de-France,Solaire,6851,6851,"0,72",-,-,4
