RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Bretagne,Solaire,7708,7708,"2,22",-,-,3/1/1900
Centre-Val de Loire,Solaire,24260,24260,"2,15",-,-,1/1/1900
Grand Est,Solaire,55577,55577,"2,22",-,-,4/1/1900
Haut-de-France,Solaire,12344,12344,"2,3",-,-,3/1/1900
ÃŽle-de-France,Solaire,7543,7543,"2,16",-,-,2/1/1900
Normandie,Solaire,10408,10408,"2,17",-,-,1/1/1900
Nouvelle-Aquitaine,Solaire,234187,234187,"2,18",-,-,6/1/1900
Occitanie,Solaire,185754,185754,"2,18",-,-,5/1/1900
Pays de la Loire,Solaire,30725,30725,"2,19",-,-,3/1/1900
Provence-Alpes-CÃ´te d'Azur,Solaire,169753,169753,"2,19",-,-,6/1/1900
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,74967,74967,"3,46",-,-,3
Bourgogne-Franche-ComtÃ©,Eolien onshore,112746,112746,"3,42",-,-,1
Bretagne,Eolien onshore,75944,75944,"3,42",-,-,2
Centre-Val de Loire,Eolien onshore,127158,127158,"3,42",-,-,2
Grand Est,Eolien onshore,373134,373134,"3,24",-,-,9
Haut-de-France,Eolien onshore,485957,485957,"3,17",-,-,9
ÃŽle-de-France,Eolien onshore,13034,13034,3,-,-,1
Normandie,Eolien onshore,73350,73350,"3,01",-,-,5
Nouvelle-Aquitaine,Eolien onshore,123629,123629,"3,05",-,-,5
Occitanie,Eolien onshore,167570,167570,"3,14",-,-,3
Pays de la Loire,Eolien onshore,95667,95667,"3,01",-,-,3
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,5992,5992,3,-,-,1
Auvergne-RhÃ´ne-Alpes,Hydraulique,162438,162438,"3,34",-,-,6
Bourgogne-Franche-ComtÃ©,Hydraulique,10414,10414,"3,21",-,-,2
Bretagne,Hydraulique,273,273,"3,15",-,-,2
Centre-Val de Loire,Hydraulique,1102,1102,"3,35",-,-,1
Grand Est,Hydraulique,15581,15581,"3,3",-,-,2
Haut-de-France,Hydraulique,1190,1190,"3,35",-,-,1
ÃŽle-de-France,Hydraulique,965,965,"3,35",-,-,1
Normandie,Hydraulique,1206,1206,"3,35",-,-,1
Nouvelle-Aquitaine,Hydraulique,76989,76989,"3,23",-,-,5
Occitanie,Hydraulique,215092,215092,"3,13",-,-,6
Pays de la Loire,Hydraulique,716,716,"3,35",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,44223,44223,"3,02",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,122453,122453,"3,42",-,-,3
Bourgogne-Franche-ComtÃ©,Solaire,40771,40771,"3,42",-,-,1
Bretagne,Solaire,12522,12522,"3,39",-,-,4
Centre-Val de Loire,Solaire,56353,56353,"3,42",-,-,2
Grand Est,Solaire,85051,85051,"3,36",-,-,4
Haut-de-France,Solaire,33123,33123,"3,3",-,-,4
ÃŽle-de-France,Solaire,12207,12207,"3,37",-,-,3
Normandie,Solaire,14484,14484,"3,11",-,-,3
Nouvelle-Aquitaine,Solaire,380121,380121,"3,13",-,-,8
Occitanie,Solaire,293972,293972,"3,02",-,-,9
Pays de la Loire,Solaire,42297,42297,"3,29",-,-,4
Provence-Alpes-CÃ´te d'Azur,Solaire,211878,211878,"3,03",-,-,5
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,60431,60431,"3,65",-,-,2/1/1900
Bourgogne-Franche-ComtÃ©,Eolien onshore,86314,86314,"3,81",-,-,31/12/1899
Bretagne,Eolien onshore,76541,76541,"3,66",-,-,4/1/1900
Centre-Val de Loire,Eolien onshore,113901,113901,"3,82",-,-,2/1/1900
Grand Est,Eolien onshore,248494,248494,"3,76",-,-,3/1/1900
Haut-de-France,Eolien onshore,397124,397124,"3,76",-,-,8/1/1900
ÃŽle-de-France,Eolien onshore,12398,12398,"3,7",-,-,31/12/1899
Normandie,Eolien onshore,68833,68833,"3,71",-,-,3/1/1900
Nouvelle-Aquitaine,Eolien onshore,107637,107637,"3,72",-,-,5/1/1900
Occitanie,Eolien onshore,146564,146564,"3,81",-,-,5/1/1900
Pays de la Loire,Eolien onshore,96025,96025,"3,72",-,-,3/1/1900
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,9016,9016,"3,72",-,-,1/1/1900
Auvergne-RhÃ´ne-Alpes,Hydraulique,72115,72115,"3,76",-,-,4/1/1900
Bourgogne-Franche-ComtÃ©,Hydraulique,4481,4481,"3,65",-,-,1/1/1900
Bretagne,Hydraulique,110,110,"3,65",-,-,31/12/1899
Centre-Val de Loire,Hydraulique,692,692,"3,65",-,-,31/12/1899
Grand Est,Hydraulique,12399,12399,"3,65",-,-,31/12/1899
Haut-de-France,Hydraulique,810,810,"3,65",-,-,31/12/1899
ÃŽle-de-France,Hydraulique,674,674,"3,65",-,-,31/12/1899
Normandie,Hydraulique,576,576,"3,65",-,-,31/12/1899
Nouvelle-Aquitaine,Hydraulique,27088,27088,"3,68",-,-,3/1/1900
Occitanie,Hydraulique,61435,61435,"3,73",-,-,3/1/1900
